/	['PCLE_VAAN']	particle=Abbreviation
&	['PCLE_VAAN']	particle=Abbreviation
a priori	['PCLE_VAAN']	particle=Unspecified
à la	['PCLE_VAAN']	particle=Unspecified
aa	['PCLE_VAAN']	particle=Interjection
aah	['PCLE_VAAN']	particle=Interjection
aakkosellisesti	['PCLE_NOPEASTI']	particle=Adverb
aakkosittain	['PCLE_NOPEASTI']	particle=Adverb
aalloittain	['PCLE_NOPEASTI']	particle=Adverb
aamen	['PCLE_VAAN']	particle=Unspecified
aamuisin	['PCLE_NOPEASTI']	particle=Adverb
aamupäivisin	['PCLE_TYHMÄSTI']	particle=Adverb
aamusella	['PCLE_NOPEASTI']	particle=Adverb
aamutuimaan	['PCLE_NOPEASTI']	particle=Adverb
aamuvarhain	['PCLE_NOPEASTI']	particle=Adverb
aasimaisesti	['PCLE_NOPEASTI']	particle=Adverb
aatteellisesti	['PCLE_NOPEASTI']	particle=Adverb
aavemaisesti	['PCLE_NOPEASTI']	particle=Adverb
ab	['PCLE_VAAN']	particle=Abbreviation
Ab	['PCLE_VAAN']	particle=Abbreviation
absoluuttisesti	['PCLE_NOPEASTI']	particle=Adverb
abstraktisesti	['PCLE_NOPEASTI']	particle=Adverb
abstraktisti	['PCLE_NOPEASTI']	particle=Adverb
absurdisti	['PCLE_NOPEASTI']	particle=Adverb
a.D.	['PCLE_VAAN']	particle=Unspecified
adekvaatisti	['PCLE_NOPEASTI']	particle=Adverb
adjektiivisesti	['PCLE_NOPEASTI']	particle=Adverb
adverbiaalisesti	['PCLE_NOPEASTI']	particle=Adverb
adverbisesti	['PCLE_NOPEASTI']	particle=Adverb
adversatiivisesti	['PCLE_NOPEASTI']	particle=Adverb
aerodynaamisesti	['PCLE_NOPEASTI']	particle=Adverb
affektiivisesti	['PCLE_NOPEASTI']	particle=Adverb
affektisesti	['PCLE_NOPEASTI']	particle=Adverb
aggressiivisesti	['PCLE_NOPEASTI']	particle=Adverb
agnostisesti	['PCLE_NOPEASTI']	particle=Adverb
agrol.	['PCLE_VAAN']	particle=Abbreviation
agron.	['PCLE_VAAN']	particle=Abbreviation
ah	['PCLE_VAAN']	particle=Interjection
aha	['PCLE_VAAN']	particle=Interjection
ahaa	['PCLE_VAAN']	particle=Interjection
ahdashenkisesti	['PCLE_TYHMÄSTI']	particle=Adverb
ahdasmielisesti	['PCLE_TYHMÄSTI']	particle=Adverb
ahdasnäköisesti	['PCLE_TYHMÄSTI']	particle=Adverb
ahdasrajaisesti	['PCLE_NOPEASTI']	particle=Adverb
ahdistuneesti	['PCLE_NOPEASTI']	particle=Adverb
ahkeraan	['PCLE_NOPEASTI']	particle=Adverb
ahkerammin	['PCLE_NOPEASTI']	particle=Adverb|Comp
ahkerasti	['PCLE_NOPEASTI']	particle=Adverb
ahnaasti	['PCLE_NOPEASTI']	particle=Adverb
ahneesti	['PCLE_NOPEASTI']	particle=Adverb
ahtaalla	['PCLE_NOPEASTI']	particle=Adverb
ahtaalle	['PCLE_NOPEASTI']	particle=Adverb
ahtaasti	['PCLE_NOPEASTI']	particle=Adverb
ai	['PCLE_VAAN']	particle=Interjection
aidosti	['PCLE_NOPEASTI']	particle=Adverb
aiemmin	['PCLE_NOPEASTI']	particle=Adverb|Comp
aih	['PCLE_VAAN']	particle=Interjection
aiheellisesti	['PCLE_NOPEASTI']	particle=Adverb
aiheettomasti	['PCLE_NOPEASTI']	particle=Adverb
aijaa	['PCLE_VAAN']	particle=Interjection
aijai	['PCLE_VAAN']	particle=Interjection
aik.	['PCLE_VAAN']	particle=Abbreviation
aika	['PCLE_VAAN']	particle=Unspecified
aikaa	['PCLE_NOPEASTI']	particle=Adposition
aikaan	['PCLE_NOPEASTI']	particle=Adverb
aikaan	['PCLE_VALTAAN']	particle=Unspecified
aikaiseksi	['PCLE_NOPEASTI']	particle=Adverb
aikaisemmin	['PCLE_NOPEASTI']	particle=Adverb|Comp
aikaisin	['PCLE_NOPEASTI']	particle=Adverb
aikaisintaan	['PCLE_VAAN']	particle=Unspecified
aikana	['PCLE_NOPEASTI']	particle=Adposition
aikanaan	['PCLE_ILKOSILLAAN']	particle=Adverb
aikanaan	['PCLE_NOPEASTI']	particle=Adverb
aikansa	['PCLE_VAAN']	particle=Adverb
aikoihin	['PCLE_NOPEASTI']	particle=Adposition
aikoihin	['PCLE_VAAN']	particle=Adverb
aikoinaan	['PCLE_NOPEASTI']	particle=Adverb
aikojaan	['PCLE_NOPEASTI']	particle=Adverb
aimo	['PCLE_VAAN']	particle=Unspecified
aina	['PCLE_KOTONA']	particle=Adverb
ainaiseksi	['PCLE_NOPEASTI']	particle=Adverb
ainakaan	['PCLE_VAAN']	particle=Unspecified
ainakin	['PCLE_VAAN']	particle=Unspecified
ainiaaksi	['PCLE_NOPEASTI']	particle=Adverb
ainiaan	['PCLE_NOPEASTI']	particle=Adverb
ainiaksi	['PCLE_NOPEASTI']	particle=Adverb
ainian	['PCLE_NOPEASTI']	particle=Adverb
ainiin	['PCLE_VAAN']	particle=Interjection
ainoastaan	['PCLE_NOPEASTI']	particle=Unspecified
ainut	['PCLE_VAAN']	particle=Qualifier
aistikkaasti	['PCLE_NOPEASTI']	particle=Adverb
aistillisesti	['PCLE_NOPEASTI']	particle=Adverb
aivan	['PCLE_NOPEASTI']	particle=Unspecified
ajaksi	['PCLE_NOPEASTI']	particle=Adposition
ajallaan	['PCLE_ILKOSILLAAN']	particle=Adverb
ajallisesti	['PCLE_NOPEASTI']	particle=Adverb
ajalta	['PCLE_KOTONA']	particle=Adposition
ajan mittaan	['PCLE_NOPEASTI']	particle=Adverb
ajan	['PCLE_NOPEASTI']	particle=Adposition
ajanmukaisesti	['PCLE_NOPEASTI']	particle=Adverb
ajassa	['PCLE_NOPEASTI']	particle=Adverb
ajassaan	['PCLE_ILKOSILLAAN']	particle=Adverb
ajattelemattomasti	['PCLE_NOPEASTI']	particle=Adverb
ajattomasti	['PCLE_NOPEASTI']	particle=Adverb
ajatuksellisesti	['PCLE_NOPEASTI']	particle=Adverb
ajatuksettomasti	['PCLE_NOPEASTI']	particle=Adverb
ajetuksissa	['PCLE_NOPEASTI']	particle=Adverb
