eräs	['PRON_ERÄS']	subcat=quantor|indefinite
he	['PCLE_LIKI']	subcat=personal
he	['PRON_ME']	subcat=personal
hän	['PRON_HÄN']	subcat=personal
hää	['PCLE_LIKI']	subcat=personal
hää	['N_PÄÄ']	subcat=personal
itse	['PCLE_YLLE']	subcat=reflexive
itse	['PRON_ITSE']	subcat=reflexive
joka	['PCLE_LIKI']	subcat=relative
joka	['PCLE_LIKI']	subcat=quantor|indefinite
jokainen	['PRON_JOKAINEN']	subcat=quantor
joka	['PRON_JOKA']	subcat=relative
joka	['PRON_JOKA']	subcat=quantor|indefinite
jokin	['PRON_JOKIN']	subcat=quantor|indefinite
jokunen	['PRON_JOKAINEN']	subcat=quantor
joku	['PRON_JOKU']	subcat=quantor|indefinite
jollainen	['PRON_LAINEN']	subcat=adjective
jompikumpi	['PRON_JOMPIKUMPI']	subcat=quantor|indefinite
kaikki	['PRON_KAIKKI']	subcat=quantor
ken	['PCLE_LIKI']	subcat=interrogative
kenkään	['PCLE_LIKI']	subcat=interrogative
koko	['PCLE_LIKI']	subcat=quantor
koko	['N_TEKO']	subcat=quantor
kukaan	['PRON_KUKAAN']	subcat=quantor
kuka	['PRON_KUKA']	subcat=interrogative
kukin	['PRON_KUKIN']	subcat=quantor
kumpainenkin	['PCLE_LIKI']	subcat=adjective
kumpainen	['PRON_JOKAINEN']	subcat=adjective
kumpikaan	['PCLE_LIKI']	subcat=quantor
kumpikin	['PCLE_LIKI']	subcat=quantor
kumpi	['PRON_KUMPI']	subcat=interrogative
ma	['PCLE_LIKI']	subcat=personal
me	['PRON_ME']	subcat=personal
mi	['PCLE_LIKI']	subcat=interrogative
mie	['PRON_MIE']	subcat=personal
mikin	['PRON_MIKIN']	subcat=quantor
mikäkin	['PCLE_LIKI']	subcat=quantor
mikä	['PRON_MIKÄ']	subcat=interrogative
mikä	['PRON_MIKÄ']	subcat=relative
mikään	['PRON_MIKÄÄN']	subcat=quantor
millainen	['PRON_LAINEN']	subcat=adjective
mimmoinen	['PRON_JOKAINEN']	subcat=adjective
minkälainen	['PRON_LAINEN']	subcat=adjective
minä	['PRON_MINÄ']	subcat=personal
mones	['PRON_MONES']	subcat=interrogative
moni	['PRON_MONI']	subcat=quantor
monta	['PCLE_LIKI']	subcat=quantor
muu	['PCLE_LIKI']	subcat=quantor
muu	['A_MUU']	subcat=quantor
muuan	['PRON_MUUAN']	subcat=quantor|indefinite
muu	['PRON_MUU']	subcat=quantor
muutama	['PRON_MUUTAMA']	subcat=quantor
mä	['PRON_MÄ']	subcat=personal
mää	['PCLE_LIKI']	subcat=personal
ne	['PRON_NE']	subcat=demonstrative
nuo	['PRON_NUO']	subcat=demonstrative
nämä	['PRON_NÄMÄ']	subcat=demonstrative
sa	['PCLE_LIKI']	subcat=personal
sama	['PRON_SAMA']	subcat=quantor
sellainen	['PRON_LAINEN']	subcat=adjective
se	['PRON_SE']	subcat=demonstrative
sie	['PRON_MIE']	subcat=personal
sinä	['PRON_MINÄ']	subcat=personal
sä	['PRON_MÄ']	subcat=personal
sää	['PCLE_LIKI']	subcat=personal
sää	['N_PÄÄ']	subcat=personal
te	['PRON_ME']	subcat=personal
toinen	['N_AAKKOSTAMINEN']	subcat=reciprocal
toinen	['NUM_TOINEN']	subcat=reciprocal
toinen	['PRON_JOKAINEN']	subcat=reciprocal
toi	['PRON_TOI']	subcat=demonstrative
tuollainen	['PRON_LAINEN']	subcat=adjective
tuo	['PRON_TUO']	subcat=demonstrative
tällainen	['PRON_LAINEN']	subcat=adjective
tämä	['PRON_TÄMÄ']	subcat=demonstrative
tää	['PCLE_LIKI']	subcat=demonstrative
usea	['A_KORKEA']	subcat=quantor
usea	['PRON_USEA']	subcat=quantor
yks	['PCLE_LIKI']	subcat=quantor
yksikään	['PCLE_LIKI']	subcat=quantor
yksi	['NUM_YKSI']	subcat=quantor
yksi	['PRON_YKSI']	subcat=quantor
yks	['NUM_KYMMENTÄ']	subcat=quantor
