aakkosellisesti	['PCLE_NOPEASTI']	clit=opt
aakkosittain	['PCLE_VALTAAN']	clit=opt
aalloittain	['PCLE_VALTAAN']	clit=opt
aasimaisesti	['PCLE_NOPEASTI']	clit=opt
aatteellisesti	['PCLE_NOPEASTI']	clit=opt
aavemaisesti	['PCLE_NOPEASTI']	clit=opt
absoluuttisesti	['PCLE_NOPEASTI']	clit=opt
abstraktisesti	['PCLE_NOPEASTI']	clit=opt
abstraktisti	['PCLE_NOPEASTI']	clit=opt
absurdisti	['PCLE_NOPEASTI']	clit=opt
adekvaatisti	['PCLE_NOPEASTI']	clit=opt
adjektiivisesti	['PCLE_NOPEASTI']	clit=opt
adverbiaalisesti	['PCLE_NOPEASTI']	clit=opt
adverbisesti	['PCLE_NOPEASTI']	clit=opt
adversatiivisesti	['PCLE_NOPEASTI']	clit=opt
aerodynaamisesti	['PCLE_NOPEASTI']	clit=opt
affektiivisesti	['PCLE_NOPEASTI']	clit=opt
affektisesti	['PCLE_NOPEASTI']	clit=opt
aggressiivisesti	['PCLE_NOPEASTI']	clit=opt
agnostisesti	['PCLE_NOPEASTI']	clit=opt
ahdashenkisesti	['PCLE_TYHMÄSTI']	clit=opt
ahdasmielisesti	['PCLE_TYHMÄSTI']	clit=opt
ahdasnäköisesti	['PCLE_TYHMÄSTI']	clit=opt
ahdasrajaisesti	['PCLE_NOPEASTI']	clit=opt
ahdistuneesti	['PCLE_NOPEASTI']	clit=opt
ahkerasti	['PCLE_NOPEASTI']	clit=opt
ahnaasti	['PCLE_NOPEASTI']	clit=opt
ahneesti	['PCLE_NOPEASTI']	clit=opt
ahtaasti	['PCLE_NOPEASTI']	clit=opt
aidosti	['PCLE_NOPEASTI']	clit=opt
aiheellisesti	['PCLE_NOPEASTI']	clit=opt
aiheettomasti	['PCLE_NOPEASTI']	clit=opt
aikaan	['PCLE_VALTAAN']	clit=opt
aina	['PCLE_KOTONA']	clit=opt
aistikkaasti	['PCLE_NOPEASTI']	clit=opt
aistillisesti	['PCLE_NOPEASTI']	clit=opt
ajallisesti	['PCLE_NOPEASTI']	clit=opt
ajanmukaisesti	['PCLE_NOPEASTI']	clit=opt
ajattelemattomasti	['PCLE_NOPEASTI']	clit=opt
ajattomasti	['PCLE_NOPEASTI']	clit=opt
ajatuksellisesti	['PCLE_NOPEASTI']	clit=opt
ajatuksettomasti	['PCLE_NOPEASTI']	clit=opt
ajoittain	['PCLE_VALTAAN']	clit=opt
akateemisesti	['PCLE_NOPEASTI']	clit=opt
akkamaisesti	['PCLE_NOPEASTI']	clit=opt
aksiaalisesti	['PCLE_NOPEASTI']	clit=opt
aksiomaattisesti	['PCLE_NOPEASTI']	clit=opt
aktiivisesti	['PCLE_NOPEASTI']	clit=opt
aktuaalisesti	['PCLE_NOPEASTI']	clit=opt
akustisesti	['PCLE_NOPEASTI']	clit=opt
akuutisti	['PCLE_NOPEASTI']	clit=opt
ala-arvoisesti	['PCLE_NOPEASTI']	clit=opt
alakanttiin	['PCLE_VALTAAN']	clit=opt
alakuloisesti	['PCLE_NOPEASTI']	clit=opt
alamaisesti	['PCLE_NOPEASTI']	clit=opt
alasti	['PCLE_NOPEASTI']	clit=opt
alentavasti	['PCLE_NOPEASTI']	clit=opt
alentuvaisesti	['PCLE_NOPEASTI']	clit=opt
alentuvasti	['PCLE_NOPEASTI']	clit=opt
alhaisesti	['PCLE_NOPEASTI']	clit=opt
alitse	['PCLE_ALLE']	poss=opt
alituisesti	['PCLE_NOPEASTI']	clit=opt
alkeellisesti	['PCLE_NOPEASTI']	clit=opt
alkukantaisesti	['PCLE_NOPEASTI']	clit=opt
alkuperäisesti	['PCLE_TYHMÄSTI']	clit=opt
alla	['PCLE_KOTONA']	poss=opt
allegorisesti	['PCLE_NOPEASTI']	clit=opt
alle	['PCLE_ALLE']	poss=opt
aloittain	['PCLE_VALTAAN']	clit=opt
alta	['PCLE_KOTONA']	poss=opt
altruistisesti	['PCLE_NOPEASTI']	clit=opt
alttiisti	['PCLE_NOPEASTI']	clit=opt
alueellisesti	['PCLE_NOPEASTI']	clit=opt
alueittain	['PCLE_VALTAAN']	clit=opt
alustavasti	['PCLE_NOPEASTI']	clit=opt
ammateittain	['PCLE_VALTAAN']	clit=opt
ammatillisesti	['PCLE_NOPEASTI']	clit=opt
ammattimaisesti	['PCLE_NOPEASTI']	clit=opt
ammolla	['PCLE_KOTONA']	poss=opt
ammolle	['PCLE_ALLE']	poss=opt
anakronistisesti	['PCLE_NOPEASTI']	clit=opt
analgeettisesti	['PCLE_NOPEASTI']	clit=opt
analogisesti	['PCLE_NOPEASTI']	clit=opt
analyyttisesti	['PCLE_TYHMÄSTI']	clit=opt
anarkistisesti	['PCLE_NOPEASTI']	clit=opt
anatomisesti	['PCLE_NOPEASTI']	clit=opt
andrologisesti	['PCLE_NOPEASTI']	clit=opt
aneemisesti	['PCLE_NOPEASTI']	clit=opt
