ajan mittaan	ADV	ajan mittaan
albanian kieli	NOUN	albanian kieli
all stars -joukkue	NOUN	all stars -joukkue
alla mainittu	NOUN	alla mainittu
alla oleva	NOUN	alla oleva
alter ego	NOUN	alter ego
alun alkaen	ADV	alun alkaen
alun perin	ADV	alun perin
alun pitäen	ADV	alun pitäen
alussa mainittu	NOUN	alussa mainittu
angina pectoris	NOUN	angina pectoris
arabian kieli	NOUN	arabian kieli
art director	NOUN	art director
au pair -tyttö	NOUN	au pair -tyttö
azerbaidžanin kieli	NOUN	azerbaidžanin kieli
azerin kieli	NOUN	azerin kieli
beauty box	NOUN	beauty box
bed and breakfast	NOUN	bed and breakfast
best man	NOUN	best man
big band	NOUN	big band
body stocking	NOUN	body stocking
bossa nova	NOUN	bossa nova
charlotte russe	NOUN	charlotte russe
crème fraîche	NOUN	crème fraîche
cum laude	NOUN	cum laude
cum laude approbatur	NOUN	cum laude approbatur
cum laude -arvosana	NOUN	cum laude -arvosana
cum laude -tentti	NOUN	cum laude -tentti
desktop publishing	NOUN	desktop publishing
director cantus	NOUN	director cantus
director musices	NOUN	director musices
disc jockey	NOUN	disc jockey
drag racing	NOUN	drag racing
drag show	NOUN	drag show
eau de Cologne	NOUN	eau de Cologne
edellisen kaltainen	ADJ	edellisen kaltainen
edellä esitetty	NOUN	edellä esitetty
edellä mainittu	NOUN	edellä mainittu
eestin kieli	NOUN	eestin kieli
ehdoin tahdoin	ADV	ehdoin tahdoin
englannin kieli	NOUN	englannin kieli
ennalta ehkäisevä	ADJ	ennalta ehkäisevä
ennen aikaan	ADV	ennen aikaan
ennen kaikkea	ADV	ennen kaikkea
ennen kuin	ADV	ennen kuin
ennen muinoin	ADV	ennen muinoin
ennen pitkää	ADV	ennen pitkää
ennen vanhaan	ADV	ennen vanhaan
ensi kädessä	ADV	ensi kädessä
ensi sijassa	ADV	ensi sijassa
ensin mainittu	NOUN	ensin mainittu
ersän kieli	NOUN	ersän kieli
